date,top_funnel_spend_usd,conversion_rate,impressions_per_user,click_through_rate,brand_search_volume,campaign_sub_metric_1,campaign_sub_metric_2,campaign_sub_metric_3,campaign_sub_metric_4,campaign_sub_metric_5,campaign_sub_metric_6,campaign_sub_metric_7,campaign_sub_metric_8,campaign_sub_metric_9,campaign_sub_metric_10,campaign_sub_metric_11,campaign_sub_metric_12,campaign_sub_metric_13,campaign_sub_metric_14,campaign_sub_metric_15,campaign_sub_metric_16,campaign_sub_metric_17,campaign_sub_metric_18,campaign_sub_metric_19,campaign_sub_metric_20,campaign_sub_metric_21,campaign_sub_metric_22,campaign_sub_metric_23,campaign_sub_metric_24,campaign_sub_metric_25,campaign_sub_metric_26,campaign_sub_metric_27,campaign_sub_metric_28,campaign_sub_metric_29,campaign_sub_metric_30,campaign_sub_metric_31,campaign_sub_metric_32,campaign_sub_metric_33,campaign_sub_metric_34,campaign_sub_metric_35,campaign_sub_metric_36,campaign_sub_metric_37,campaign_sub_metric_38,campaign_sub_metric_39,campaign_sub_metric_40,campaign_sub_metric_41,campaign_sub_metric_42,campaign_sub_metric_43,campaign_sub_metric_44,campaign_sub_metric_45,campaign_sub_metric_46
2025-01-01,1061.81,0.02,2594.49,0.0063,266.62,156.79,168.87,161.07,139.11,155.2,150.56,189.15,159.53,150.79,175.33,152.22,138.61,149.61,176.45,165.71,533.51,213.35,36.57,183.95,151.67,723.75,800.16,117.04,20.25,519.26,809.88,119.78,765.87,586.77,150.88,648.8,573.61,842.62,511.1,63.25,107.11,6.99,135.81,309.29,950.22,77.0,49.35,370.25,561.53,761.0,587.63
2025-01-02,1926.07,0.02,2108.29,0.004,587.71,365.44,354.34,365.91,354.23,346.13,355.09,350.79,366.41,353.55,351.51,344.08,360.22,356.99,353.31,366.6,823.45,325.39,186.41,464.63,81.97,25.03,641.74,16.06,719.29,505.87,751.15,163.32,305.76,659.67,125.12,315.18,507.82,586.81,979.23,364.87,762.67,634.05,659.11,59.93,106.94,911.98,598.51,190.47,400.45,375.31,346.18
2025-01-03,1597.99,0.02,1428.58,0.028,885.65,536.97,536.92,534.52,553.52,532.23,523.37,520.09,524.68,515.74,534.38,527.36,523.0,523.77,532.65,543.3,981.73,150.74,746.77,13.66,431.62,570.64,668.95,107.01,439.19,62.25,760.39,640.73,408.42,17.6,403.08,714.77,839.39,377.08,124.3,955.29,849.16,738.97,977.81,236.03,563.23,233.07,527.61,816.53,768.32,567.9,405.71
2025-01-04,1957.18,0.0309,2941.39,0.0063,759.0,444.29,443.65,449.34,451.8,455.53,470.22,458.13,454.85,456.84,463.73,458.12,469.12,453.98,478.46,449.99,411.04,620.56,325.47,481.68,828.32,884.19,832.26,292.6,786.8,922.12,389.06,813.42,301.6,241.87,996.99,975.11,865.76,86.98,372.73,392.03,587.39,917.83,111.46,265.67,330.07,344.16,293.0,603.24,867.39,449.66,119.06
2025-01-05,1027.64,0.0535,2554.19,0.0049,825.91,498.01,486.59,500.1,488.26,500.34,492.71,474.8,486.32,504.26,489.24,494.97,496.96,504.32,481.55,494.52,763.39,419.87,668.24,55.84,473.42,17.39,573.82,551.79,923.48,177.12,751.62,349.47,80.22,430.97,173.36,896.96,522.26,469.65,931.99,526.21,161.24,883.84,461.95,994.37,429.85,280.5,262.43,360.42,340.84,870.81,748.23
2025-01-06,733.99,0.0412,987.85,0.0259,692.91,420.73,421.72,411.15,419.48,413.06,410.09,414.82,415.82,403.23,424.39,421.22,409.01,423.65,423.71,422.45,99.76,613.28,716.88,977.72,829.29,405.18,466.0,64.0,599.3,528.34,386.77,595.31,939.43,331.98,145.48,291.59,927.26,752.08,876.87,355.24,15.22,841.96,180.64,235.55,610.18,413.62,580.02,443.84,660.4,878.76,601.55
2025-01-07,587.13,0.0461,3232.78,0.0044,723.05,445.23,424.35,426.88,436.95,415.47,429.12,433.99,419.04,418.5,406.75,420.43,440.46,433.61,450.47,444.51,776.83,761.67,581.19,790.59,729.69,926.23,636.64,136.23,187.11,803.57,898.71,170.64,548.54,884.17,915.06,326.72,64.74,360.27,394.27,596.13,700.8,945.79,745.04,239.19,908.85,714.05,706.49,826.54,549.05,343.74,364.22
2025-01-08,1799.26,0.0375,2967.61,0.0063,864.28,534.37,523.2,507.02,530.49,514.24,525.75,526.51,513.69,534.36,511.37,511.14,527.5,500.88,515.32,527.96,371.42,545.7,958.7,490.11,209.43,353.15,297.96,181.08,782.19,215.45,177.22,311.38,787.83,787.71,882.05,371.54,113.23,235.45,698.95,978.16,550.14,537.38,118.06,686.79,457.57,870.6,33.17,338.93,278.44,91.74,171.57
2025-01-09,1401.67,0.0359,3349.4,0.005,324.7,184.67,181.15,177.3,182.24,202.76,193.24,204.56,180.46,188.7,185.58,193.66,201.24,224.75,203.42,194.18,39.39,627.63,21.44,86.59,948.88,458.73,182.6,631.98,955.81,527.37,292.35,20.27,658.36,625.89,32.24,394.55,596.79,931.38,87.86,997.5,650.8,6.92,239.84,859.36,987.73,182.6,567.4,89.63,271.94,167.58,593.45
2025-01-10,1562.11,0.0316,2677.16,0.004,540.48,316.18,332.77,320.39,331.6,321.32,317.87,319.25,331.23,335.65,311.75,343.27,313.99,341.75,314.47,311.75,363.25,935.25,738.65,592.45,60.78,981.54,616.59,615.79,580.23,240.68,551.34,768.28,514.25,338.04,751.71,100.32,354.07,821.56,712.54,774.71,813.18,11.05,196.41,387.06,592.81,686.41,170.46,911.28,538.63,367.0,778.6
2025-01-11,743.23,0.0481,2340.25,0.0045,299.09,166.88,167.13,181.03,185.36,176.99,196.11,177.95,186.62,177.91,177.3,178.31,174.61,186.68,172.59,169.46,610.64,299.06,958.79,758.76,898.28,199.32,233.85,550.77,682.0,759.69,319.21,401.01,89.68,700.67,655.47,761.96,464.23,638.28,972.86,404.31,434.23,544.64,552.52,875.62,160.55,352.56,140.36,387.34,154.0,564.25,312.4
2025-01-12,2736.81,0.0422,1754.73,0.0241,988.9,591.0,598.86,592.37,591.92,603.2,584.78,585.68,576.04,591.72,597.2,604.19,593.3,585.81,597.19,596.07,119.25,359.16,862.27,190.72,304.44,65.26,79.92,250.5,337.47,564.34,424.24,816.13,642.73,843.64,767.74,365.34,328.08,136.78,537.49,494.43,124.52,435.27,873.18,340.14,190.01,980.53,623.12,348.39,810.81,656.79,25.86
2025-01-13,1748.66,0.0451,3298.19,0.0055,949.65,574.46,576.05,565.63,573.18,562.67,570.15,558.51,583.13,574.18,576.82,570.18,569.38,568.66,577.78,573.21,924.03,717.7,167.89,568.21,500.15,859.42,0.55,371.12,381.53,855.98,492.42,708.37,155.37,594.83,494.5,879.82,404.73,144.91,498.49,356.73,939.98,451.25,511.09,197.02,716.11,298.92,310.87,204.4,69.0,331.37,214.34
2025-01-14,818.51,0.0327,3098.19,0.0048,135.48,91.16,74.32,71.83,91.59,65.86,87.81,84.39,106.26,72.45,83.7,76.45,88.79,75.86,92.5,70.3,77.67,611.31,326.82,814.21,422.35,868.47,608.32,96.69,734.65,894.56,856.35,828.74,414.38,784.46,991.38,926.94,822.65,103.22,187.32,985.57,545.26,400.4,58.24,329.64,50.4,7.19,440.88,897.42,94.57,667.5,682.4
2025-01-15,772.74,0.0616,635.66,0.0329,735.02,440.25,446.83,447.09,449.73,439.4,424.7,428.27,441.47,442.34,434.35,438.54,420.86,453.65,456.71,441.46,930.01,178.53,172.45,768.25,171.83,472.08,362.15,226.46,927.77,648.73,523.19,285.66,629.11,749.1,43.85,24.43,593.48,616.3,633.79,707.76,615.29,917.73,563.39,609.36,480.34,515.64,360.0,217.51,342.23,937.74,989.1
2025-01-16,775.11,0.0464,579.1,0.0334,932.72,556.44,562.24,546.46,548.2,554.79,564.44,555.49,553.22,555.82,563.32,557.95,562.98,562.26,558.96,565.95,707.14,376.15,601.31,802.99,358.15,514.21,752.31,897.71,628.99,725.39,362.46,185.11,782.23,571.74,234.37,988.5,997.34,115.56,590.44,448.93,933.41,359.17,797.52,367.14,148.22,150.73,648.34,636.67,118.09,652.01,13.38
